1555440468.964253	40.162748	-88.307964	274.756195
1555440468.983766	40.162747	-88.307963	274.759552
1555440469.003853	40.162745	-88.307962	274.760284
1555440469.023792	40.162744	-88.307961	274.757507
1555440469.043848	40.162743	-88.307960	274.755859
1555440469.064279	40.162741	-88.307959	274.758301
1555440469.083863	40.162740	-88.307958	274.765106
1555440469.103912	40.162739	-88.307957	274.767639
1555440469.123829	40.162737	-88.307956	274.773102
1555440469.143826	40.162736	-88.307954	274.782257
1555440469.164278	40.162735	-88.307953	274.785553
1555440469.183931	40.162734	-88.307952	274.788330
1555440469.203857	40.162732	-88.307951	274.795990
1555440469.223888	40.162731	-88.307950	274.795593
1555440469.243880	40.162730	-88.307949	274.797272
1555440469.264360	40.162729	-88.307948	274.799652
1555440469.283931	40.162727	-88.307946	274.801056
1555440469.303989	40.162726	-88.307945	274.807556
1555440469.323876	40.162725	-88.307944	274.816254
1555440469.343841	40.162724	-88.307943	274.819031
1555440469.364278	40.162723	-88.307942	274.826874
1555440469.383844	40.162721	-88.307940	274.832428
1555440469.403841	40.162720	-88.307939	274.836090
1555440469.423950	40.162719	-88.307938	274.844299
1555440469.443839	40.162718	-88.307937	274.849945
1555440469.464352	40.162717	-88.307935	274.852142
1555440469.483843	40.162715	-88.307934	274.858246
1555440469.503997	40.162714	-88.307933	274.863678
1555440469.523843	40.162713	-88.307932	274.867981
1555440469.543875	40.162712	-88.307930	274.874359
1555440469.564410	40.162711	-88.307929	274.877350
1555440469.583906	40.162710	-88.307928	274.883881
1555440469.603958	40.162709	-88.307926	274.895752
1555440469.623754	40.162707	-88.307925	274.901764
1555440469.643838	40.162706	-88.307924	274.913483
1555440469.664278	40.162705	-88.307922	274.926819
1555440469.683959	40.162704	-88.307921	274.934235
1555440469.704059	40.162703	-88.307919	274.943512
1555440469.723906	40.162702	-88.307918	274.948120
1555440469.743902	40.162701	-88.307917	274.954712
1555440469.764269	40.162700	-88.307915	274.963470
1555440469.783895	40.162699	-88.307914	274.971252
1555440469.803814	40.162698	-88.307912	274.980743
1555440469.823813	40.162697	-88.307911	274.988556
1555440469.843893	40.162695	-88.307909	274.994019
1555440469.864269	40.162694	-88.307908	274.999146
1555440469.883891	40.162693	-88.307906	275.008820
1555440469.903976	40.162692	-88.307905	275.015533
1555440469.923890	40.162691	-88.307903	275.022430
1555440469.943900	40.162690	-88.307902	275.029236
1555440469.964269	40.162689	-88.307900	275.036163
1555440469.983891	40.162688	-88.307899	275.042084
1555440470.003837	40.162687	-88.307897	275.046936
1555440470.023894	40.162686	-88.307896	275.049805
1555440470.043824	40.162685	-88.307894	275.054443
1555440470.064353	40.162684	-88.307892	275.064606
1555440470.083843	40.162683	-88.307891	275.067322
1555440470.104012	40.162682	-88.307889	275.073151
1555440470.123936	40.162681	-88.307888	275.079010
1555440470.143845	40.162681	-88.307886	275.082489
1555440470.164268	40.162680	-88.307884	275.089355
1555440470.183817	40.162679	-88.307883	275.094421
1555440470.203944	40.162678	-88.307881	275.101898
1555440470.223791	40.162677	-88.307879	275.110260
1555440470.243820	40.162676	-88.307878	275.116272
1555440470.264349	40.162675	-88.307876	275.119354
1555440470.283816	40.162674	-88.307874	275.125275
1555440470.303970	40.162673	-88.307873	275.131378
1555440470.323821	40.162672	-88.307871	275.138641
1555440470.343873	40.162671	-88.307869	275.143036
1555440470.364269	40.162671	-88.307868	275.146423
1555440470.383818	40.162670	-88.307866	275.149445
1555440470.403844	40.162669	-88.307864	275.154388
1555440470.423797	40.162668	-88.307862	275.161743
1555440470.443878	40.162667	-88.307861	275.166260
1555440470.464349	40.162666	-88.307859	275.169830
1555440470.483864	40.162666	-88.307857	275.176056
1555440470.503950	40.162665	-88.307855	275.182648
1555440470.523813	40.162664	-88.307854	275.189758
1555440470.543870	40.162663	-88.307852	275.197540
1555440470.564271	40.162662	-88.307850	275.204926
1555440470.583866	40.162661	-88.307848	275.209290
1555440470.603824	40.162661	-88.307847	275.214874
1555440470.623846	40.162660	-88.307845	275.220673
1555440470.643834	40.162659	-88.307843	275.229156
1555440470.664289	40.162658	-88.307841	275.233459
1555440470.683886	40.162658	-88.307839	275.234497
1555440470.703882	40.162657	-88.307838	275.239960
1555440470.723979	40.162656	-88.307836	275.244873
1555440470.743886	40.162656	-88.307834	275.249573
1555440470.764352	40.162655	-88.307832	275.255859
1555440470.783792	40.162654	-88.307830	275.261078
1555440470.803881	40.162653	-88.307828	275.266968
1555440470.823905	40.162653	-88.307826	275.279205
1555440470.843826	40.162652	-88.307825	275.290375
1555440470.864268	40.162651	-88.307823	275.301880
1555440470.883791	40.162651	-88.307821	275.316559
1555440470.904003	40.162650	-88.307819	275.327209
1555440470.923820	40.162650	-88.307817	275.337372
1555440470.943821	40.162649	-88.307815	275.347137
1555440470.964268	40.162648	-88.307813	275.358124
1555440470.983863	40.162648	-88.307811	275.367004
1555440471.003927	40.162647	-88.307809	275.376740
1555440471.023793	40.162647	-88.307807	275.384918
1555440471.043873	40.162646	-88.307805	275.391357
1555440471.064268	40.162645	-88.307804	275.395630
1555440471.083797	40.162645	-88.307802	275.404968
1555440471.104033	40.162644	-88.307800	275.411346
1555440471.123818	40.162644	-88.307798	275.420227
1555440471.143856	40.162643	-88.307796	275.432465
1555440471.164267	40.162643	-88.307794	275.444519
1555440471.183841	40.162642	-88.307792	275.455963
1555440471.203796	40.162642	-88.307790	275.467896
1555440471.223818	40.162641	-88.307788	275.476562
1555440471.243922	40.162641	-88.307786	275.486694
1555440471.264265	40.162641	-88.307784	275.496735
